Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),12.52,-58.28
2025-03-08,Saturday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),10.42,-65.27
2025-03-09,Sunday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),10.42,-65.27
2025-03-10,Monday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),10.49,-65.03
2025-03-11,Tuesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),10.54,-64.87
2025-03-12,Wednesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),10.55,-64.85
2025-03-13,Thursday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),10.55,-64.82
2025-03-07,Friday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),10.79,-46.04
2025-03-08,Saturday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),10.06,-49.72
2025-03-09,Sunday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),10.06,-49.71
2025-03-10,Monday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),10.12,-49.42
2025-03-11,Tuesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),10.16,-49.22
2025-03-12,Wednesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),10.16,-49.18
2025-03-13,Thursday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),10.17,-49.16
2025-03-07,Friday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),12.36,-58.82
2025-03-08,Saturday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),11.24,-62.52
2025-03-09,Sunday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),11.24,-62.52
2025-03-10,Monday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),11.24,-62.54
2025-03-11,Tuesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),11.28,-62.4
2025-03-12,Wednesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),11.28,-62.38
2025-03-13,Thursday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),11.29,-62.38
2025-03-07,Friday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),12.39,-58.69
2025-03-08,Saturday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),10.55,-64.85
2025-03-09,Sunday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),10.55,-64.85
2025-03-10,Monday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),10.62,-64.61
2025-03-11,Tuesday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),10.66,-64.47
2025-03-12,Wednesday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),10.67,-64.44
2025-03-13,Thursday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),10.67,-64.43
2025-03-07,Friday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),12.33,-58.9
2025-03-08,Saturday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),10.69,-64.36
2025-03-09,Sunday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),10.69,-64.36
2025-03-10,Monday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),10.69,-64.38
2025-03-11,Tuesday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),10.73,-64.22
2025-03-12,Wednesday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),10.74,-64.2
2025-03-13,Thursday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),10.74,-64.19
2025-03-07,Friday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),12.83,-64.37
2025-03-08,Saturday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),10.31,-71.36
2025-03-09,Sunday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),10.31,-71.35
2025-03-10,Monday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),10.38,-71.17
2025-03-11,Tuesday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),10.43,-71.04
2025-03-12,Wednesday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),10.43,-71.02
2025-03-13,Thursday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),10.44,-71.0
2025-03-07,Friday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),12.37,-58.77
2025-03-08,Saturday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),10.09,-66.38
2025-03-09,Sunday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),10.09,-66.38
2025-03-10,Monday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),10.15,-66.16
2025-03-11,Tuesday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),10.19,-66.03
2025-03-12,Wednesday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),10.2,-66.01
2025-03-13,Thursday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),10.2,-65.99
2025-03-07,Friday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),12.18,-51.28
2025-03-08,Saturday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),10.28,-58.88
2025-03-09,Sunday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),10.28,-58.87
2025-03-10,Monday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),10.34,-58.62
2025-03-11,Tuesday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),10.39,-58.43
2025-03-12,Wednesday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),10.4,-58.41
2025-03-13,Thursday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),10.4,-58.38
2025-03-07,Friday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),12.56,-58.14
2025-03-08,Saturday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),10.27,-65.75
2025-03-09,Sunday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),10.28,-65.75
2025-03-10,Monday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),10.34,-65.54
2025-03-11,Tuesday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),10.39,-65.38
2025-03-12,Wednesday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),10.39,-65.35
2025-03-13,Thursday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),10.4,-65.33
2025-03-07,Friday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),12.39,-58.68
2025-03-08,Saturday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),11.3,-62.32
2025-03-09,Sunday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),11.3,-62.32
2025-03-10,Monday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),11.3,-62.34
2025-03-11,Tuesday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),11.34,-62.21
2025-03-12,Wednesday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),11.34,-62.19
2025-03-13,Thursday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),11.35,-62.18
2025-03-07,Friday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),12.52,-58.25
2025-03-08,Saturday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),10.28,-65.75
2025-03-09,Sunday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),10.28,-65.74
2025-03-10,Monday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),10.34,-65.53
2025-03-11,Tuesday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),10.39,-65.38
2025-03-12,Wednesday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),10.39,-65.35
2025-03-13,Thursday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),10.4,-65.33
